진료과,소속부서,보유장비,진료내용
내과,심혈관센터,혈관조영장치심장초음파진단기심전도검사기24시간심전도-혈압검사기폐기능검사기동맥경화진단기운동부하검사기,"심장질환의 환자의 검사, 진단, 치료를시행"
내과,내시경실,내시경시스템위내시경기관지 내시경대장 내시경,"식도의 병변, 위궤양, 위암, 소장 및 대장암, 담낭 및 췌장질환, 기타 질병을 진단"
내과,인공신장실 ,"혈액투석기혈류측정기체수분검사기심전도검사기","혈액 투석 시  투석 환자의 편의제공"
소아청소년과,"","","영·유아 환자의 외과적 질환, 즉 선천성 기형, 탈장, 거대결장 등 소아질환의 전문상담 및 치료"
정신건강의학과,뇌파 검사실 ,뇌파 검사기, "정신과/내과/신경외과 등에서 주로 이용하며 뇌기능 장애에 의한 정신병/간질/뇌종양/뇌혈관 질환 등을 정확히 진단"
정신건강의학과 , 임상심리실 ,""," 인간의 심리적 문제를 이해하고 심리적 건강과 적응 향상을 위해 개입, 연구를 시행하며 발견된 다양한 정신 장애 및 심한 수준의 적응 문제를 확인 "
정신건강의학과 , 스트레스클리닉 ,""," 뇌가 심각한 스트레스를 받으면 아드레날린과 코티졸이라는 호르몬의 분비로 인해 불안, 우울, 두통, 치매 등 질병을 유발하므로, 이러한 증상을 사전예방하기 위한 치료를 시행 "
정신건강의학과 , PTSD 클리닉 ,EMDR," Eye scan 및 컴퓨터 프로그램을 활용, 안구운동 유발로 기억감정들을 재처리함으로써 정신을 치료 "
일반외과 ," 다한증 클리닉복강경 클리닉 ","복강경 수술기초음파진단기항문경하지정맥레이저치료기직장초음파진단기"," 일반외과 전문의로 하여금 소장 및 대장암, 하지정맥, 기타 질병을 정확히 진단하여 복강경내의 각종 질환 수술 및 상담과 항문재건술을 시행 "
신경외과 ,"",뇌혈류 초음파," 뇌혈관 질환, 각종 척추질환 및 기타 신경질환의 상담과 수술을 시행 함으로써 기능개선 및 회복을 도모 "
신경과 , 유발전위검사실 ,유발전위검사기," 중추신경장애 환자 및 말초신경장애, 즉 신경근경, 말초신경병증, 신경근접합부 근육질환의 원인과 그 경과 예후 판정 치료 "
정형외과 , 인공관절클리닉 ,"", "각종 질환에 의하여 파괴된 관절을 인공관절을 사용하여 복원함"
정형외과 , 관절경 클리닉 ,"관절경초음파뼈절삭기", "관절경을 이용하여 관절의 피부절개 없이 진단 및 수술·치료를 시행"
산부인과 , 초음파실 ,초음파 진단기," 임신 초기의 이상유무, 태아성숙도, 태반 위치 판정 등에 사용하며, 자궁암의 조기진단 및 치료 상담 "
비뇨의학과 , 전립선 클리닉 ,"방광경초음파진단기", "경요도적 수술과 방광 및 요도의 이상을 진단하고 치료"
피부과 ,"","CO2 레이저냉동치료기광선치료기"," 탄산가스 레이저를 이용하여 시술 및 치료 할 수 있으며, 색소성모반(점)등 피부과의 각종 치료 환자에게 유용하게 사용 "
안과 , 시야 검사실 ,"알곤레이저주변시야계야그레이저세극등현미경각막곡률측정기안압기백내장 수술기"," 각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정에 도움 "
이비인후과 ,"",후두내시경, "후두암 등의 검사 및 후두의 이물질 제거 등을 시행"
